"regulation_id","state_code","state_name","topic","subtopic","status","effective_date","summary","source_url_1","citation_1","source_url_2","citation_2","source_quality","verified_by","reviewed_by","verified_at","next_review_due","notes"
"US-OR-SWEEPSTAKES-CURRENT-001","OR","Oregon","sweepstakes","general_status","","","","","","","","primary","","","","",""
"US-PA-IGAMING-CURRENT-001","PA","Pennsylvania","igaming","general_status","","","","","","","","primary","","","","",""
"US-PA-SPORTSBOOK-CURRENT-001","PA","Pennsylvania","sportsbook","general_status","","","","","","","","primary","","","","",""
"US-PA-SWEEPSTAKES-CURRENT-001","PA","Pennsylvania","sweepstakes","general_status","","","","","","","","primary","","","","",""
"US-RI-IGAMING-CURRENT-001","RI","Rhode Island","igaming","general_status","","","","","","","","primary","","","","",""
"US-RI-SPORTSBOOK-CURRENT-001","RI","Rhode Island","sportsbook","general_status","","","","","","","","primary","","","","",""
"US-RI-SWEEPSTAKES-CURRENT-001","RI","Rhode Island","sweepstakes","general_status","","","","","","","","primary","","","","",""
"US-SC-IGAMING-CURRENT-001","SC","South Carolina","igaming","general_status","","","","","","","","primary","","","","",""
"US-SC-SPORTSBOOK-CURRENT-001","SC","South Carolina","sportsbook","general_status","","","","","","","","primary","","","","",""
"US-SC-SWEEPSTAKES-CURRENT-001","SC","South Carolina","sweepstakes","general_status","","","","","","","","primary","","","","",""
"US-SD-IGAMING-CURRENT-001","SD","South Dakota","igaming","general_status","","","","","","","","primary","","","","",""
"US-SD-SPORTSBOOK-CURRENT-001","SD","South Dakota","sportsbook","general_status","","","","","","","","primary","","","","",""
"US-SD-SWEEPSTAKES-CURRENT-001","SD","South Dakota","sweepstakes","general_status","","","","","","","","primary","","","","",""
"US-TN-IGAMING-CURRENT-001","TN","Tennessee","igaming","general_status","","","","","","","","primary","","","","",""
"US-TN-SPORTSBOOK-CURRENT-001","TN","Tennessee","sportsbook","general_status","","","","","","","","primary","","","","",""
"US-TN-SWEEPSTAKES-CURRENT-001","TN","Tennessee","sweepstakes","general_status","","","","","","","","primary","","","","",""
"US-TX-IGAMING-CURRENT-001","TX","Texas","igaming","general_status","prohibited","1990-01-01","All forms of online casino gaming are strictly prohibited in Texas.","https://statutes.capitol.texas.gov/","Texas Penal Code 47.01","","","primary","","","2026-01-01","2026-12-31",""
"US-TX-SPORTSBOOK-CURRENT-001","TX","Texas","sportsbook","general_status","prohibited","1990-01-01","All forms of sports betting are strictly prohibited in Texas.","https://statutes.capitol.texas.gov/","Texas Penal Code 47.01","","","primary","","","2026-01-01","2026-12-31",""
"US-TX-SWEEPSTAKES-CURRENT-001","TX","Texas","sweepstakes","general_status","","","","","","","","primary","","","","",""
"US-UT-IGAMING-CURRENT-001","UT","Utah","igaming","general_status","","","","","","","","primary","","","","",""
"US-UT-SPORTSBOOK-CURRENT-001","UT","Utah","sportsbook","general_status","","","","","","","","primary","","","","",""
"US-UT-SWEEPSTAKES-CURRENT-001","UT","Utah","sweepstakes","general_status","","","","","","","","primary","","","","",""
"US-VT-IGAMING-CURRENT-001","VT","Vermont","igaming","general_status","","","","","","","","primary","","","","",""
"US-VT-SPORTSBOOK-CURRENT-001","VT","Vermont","sportsbook","general_status","","","","","","","","primary","","","","",""
"US-VT-SWEEPSTAKES-CURRENT-001","VT","Vermont","sweepstakes","general_status","","","","","","","","primary","","","","",""
"US-VA-IGAMING-CURRENT-001","VA","Virginia","igaming","general_status","","","","","","","","primary","","","","",""
"US-VA-SPORTSBOOK-CURRENT-001","VA","Virginia","sportsbook","general_status","","","","","","","","primary","","","","",""
"US-VA-SWEEPSTAKES-CURRENT-001","VA","Virginia","sweepstakes","general_status","","","","","","","","primary","","","","",""
"US-WA-IGAMING-CURRENT-001","WA","Washington","igaming","general_status","","","","","","","","primary","","","","",""
"US-WA-SPORTSBOOK-CURRENT-001","WA","Washington","sportsbook","general_status","","","","","","","","primary","","","","",""
"US-WA-SWEEPSTAKES-CURRENT-001","WA","Washington","sweepstakes","general_status","","","","","","","","primary","","","","",""
"US-WV-IGAMING-CURRENT-001","WV","West Virginia","igaming","general_status","","","","","","","","primary","","","","",""
"US-WV-SPORTSBOOK-CURRENT-001","WV","West Virginia","sportsbook","general_status","","","","","","","","primary","","","","",""
"US-WV-SWEEPSTAKES-CURRENT-001","WV","West Virginia","sweepstakes","general_status","","","","","","","","primary","","","","",""
"US-WI-IGAMING-CURRENT-001","WI","Wisconsin","igaming","general_status","","","","","","","","primary","","","","",""
"US-WI-SPORTSBOOK-CURRENT-001","WI","Wisconsin","sportsbook","general_status","","","","","","","","primary","","","","",""
"US-WI-SWEEPSTAKES-CURRENT-001","WI","Wisconsin","sweepstakes","general_status","","","","","","","","primary","","","","",""
"US-WY-IGAMING-CURRENT-001","WY","Wyoming","igaming","general_status","","","","","","","","primary","","","","",""
"US-WY-SPORTSBOOK-CURRENT-001","WY","Wyoming","sportsbook","general_status","","","","","","","","primary","","","","",""
"US-WY-SWEEPSTAKES-CURRENT-001","WY","Wyoming","sweepstakes","general_status","","","","","","","","primary","","","","",""
